,network_type,cv,weight_decay,refit,num_train_ksr,num_test_ksr,AUPRC,AUROC,MCC,F1,ACC,TP,TN,FP,FN,train_loss,val_loss,val_r2,activation,drop_p_prior,drop_p_kki,drop_p_ksr
74,cpd,3,1e-10,3,96990,24118,0.24988156098578243,0.7150170569368005,0.220658558345117,0.24006596061537674,0.6501969714354643,18780.0,202220.0,113559.0,5338.0,0.016100483015179634,0.01619726528103153,0.7656626204649607,ReLU0,0,0,0
75,weight,3,1e-10,3,96990,24118,0.07948525212511368,0.4825587594401344,-0.03378761988120031,0.03584712414425099,0.8606857445515866,665.0,220335.0,12319.0,23453.0,0.016100483015179634,0.01619726528103153,0.7656626204649607,ReLU0,0,0,0
76,cpd,3,1e-10,4,96990,24118,0.24469817614120534,0.6997983335050388,0.20924497300642086,0.23540973790571895,0.6529247186662609,18085.0,202915.0,111444.0,6033.0,0.015998343220697,0.015730854744712513,0.7772966126600901,ReLU0,0,0,0
77,weight,3,1e-10,4,96990,24118,0.07988101143171433,0.4848595819961823,-0.031485339731540024,0.033281711952696046,0.8655363779848276,591.0,220409.0,10806.0,23527.0,0.015998343220697,0.015730854744712513,0.7772966126600901,ReLU0,0,0,0
78,cpd,3,1e-10,5,96990,24118,0.24882709511262077,0.709120251054431,0.21596411069381505,0.23782479512799287,0.6504419178912731,18530.0,202470.0,113181.0,5588.0,0.01563818509188982,0.015542184778799614,0.7742265860239664,ReLU0,0,0,0
79,weight,3,1e-10,5,96990,24118,0.08062319327056408,0.48634155990187045,-0.029450900829917134,0.032377214751543835,0.8682601794666289,561.0,220439.0,9975.0,23557.0,0.01563818509188982,0.015542184778799614,0.7742265860239664,ReLU0,0,0,0
80,cpd,3,1e-10,6,96990,24118,0.24559648850017787,0.7088636259848295,0.21772019834001147,0.23948993566057725,0.6524370442535352,18537.0,202463.0,112149.0,5581.0,0.015407303992945414,0.016064091740796965,0.7811983029047648,ReLU0,0,0,0
81,weight,3,1e-10,6,96990,24118,0.08032691732151774,0.48695670499353266,-0.029201549891095125,0.0306553911205074,0.8700376360171961,522.0,220478.0,9416.0,23596.0,0.015407303992945414,0.016064091740796965,0.7811983029047648,ReLU0,0,0,0
82,cpd,3,1e-10,7,96990,24118,0.24797612969510796,0.7111774689264831,0.2197115338920587,0.2406263727744903,0.6527877878469227,18624.0,202376.0,112054.0,5494.0,0.01558681928481047,0.014829017377148071,0.7805903057257334,ReLU0,0,0,0
83,weight,3,1e-10,7,96990,24118,0.0805120867676466,0.48767037232268806,-0.028349626008247475,0.029735124988826984,0.8715713919507818,499.0,220501.0,8946.0,23619.0,0.01558681928481047,0.014829017377148071,0.7805903057257334,ReLU0,0,0,0
84,cpd,3,1e-10,8,96990,24118,0.24729383273295322,0.7109802702943095,0.22097766649088793,0.2418975617993583,0.6543843753146079,18622.0,202378.0,111226.0,5496.0,0.015416037649489366,0.014728237874805927,0.7811185320218405,ReLU0,0,0,0
85,weight,3,1e-10,8,96990,24118,0.08064261457117561,0.4881936138272441,-0.027699881926961104,0.02903701918732492,0.8727071692301617,482.0,220518.0,8599.0,23636.0,0.015416037649489366,0.014728237874805927,0.7811185320218405,ReLU0,0,0,0
86,cpd,3,1e-10,9,96990,24118,0.24780083443376158,0.710761403626934,0.2184596764793446,0.23981001058364956,0.6523099446274454,18580.0,202420.0,112258.0,5538.0,0.015234415634320332,0.015095120295882225,0.7776167392730713,ReLU0,0,0,0
